time,alex,elliott,harvey,sam,sebastian,shane,abigail,emily,haley,leah,maru,penny,overall_1,overall_2,overall_3,gender,orientation,age
2018-07-21 16:51:42+02:00,4,2,1,3,5,6,6,5,1,3,4,2,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 16:54:30+02:00,3,2,1,5,6,4,5,2,1,3,4,6,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 16:58:32+02:00,4,1,2,3,5,6,6,3,5,2,4,1,,,,Male,Other,19-29
2018-07-21 17:18:33+02:00,6,2,3,1,4,5,3,4,1,6,2,5,,,,Female,Heterosexual,19-29
2018-07-21 17:21:28+02:00,3,4,6,2,1,5,6,5,1,2,3,4,,,,Female,Heterosexual,15-18
2018-07-21 17:21:37+02:00,2,1,3,4,5,6,1,4,2,6,3,5,,,,Female,Heterosexual,19-29
2018-07-21 17:21:39+02:00,4,6,3,5,1,2,1,5,3,6,2,4,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 17:23:03+02:00,1,2,6,4,5,3,4,5,2,3,6,1,,,,Male,Heterosexual,19-29
2018-07-21 17:23:46+02:00,2,6,5,4,3,1,6,5,3,4,1,2,,,,Male,Heterosexual,19-29
2018-07-21 17:26:12+02:00,6,1,2,5,4,3,5,6,3,4,2,1,,,,Male,Heterosexual,15-18
2018-07-21 17:28:35+02:00,3,1,2,5,4,6,3,2,4,5,1,6,,,,Male,Asexual,19-29
2018-07-21 17:32:41+02:00,2,1,6,3,4,5,3,6,5,4,2,1,,,,Female,Heterosexual,19-29
2018-07-21 17:33:25+02:00,4,2,6,5,3,1,4,3,1,5,6,2,,,,Male,Heterosexual,19-29
2018-07-21 17:34:06+02:00,3,4,5,1,2,6,2,4,1,6,3,5,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 17:35:54+02:00,2,5,3,1,6,4,6,2,1,3,5,4,,,,Female,Heterosexual,19-29
2018-07-21 17:39:10+02:00,1,6,2,3,4,5,2,3,6,5,1,4,,,,Male,Heterosexual,19-29
2018-07-21 17:43:53+02:00,3,4,2,1,6,5,3,2,6,5,1,4,,,,Female,Heterosexual,30-39
2018-07-21 17:43:55+02:00,6,2,3,5,1,4,2,5,3,4,1,6,,,,Male,Heterosexual,19-29
2018-07-21 17:44:30+02:00,1,4,2,3,5,6,5,1,6,4,3,2,,,,Male,Heterosexual,19-29
2018-07-21 17:44:34+02:00,6,3,4,1,2,5,3,2,1,6,4,5,,,,Female,Heterosexual,15-18
2018-07-21 17:45:29+02:00,3,4,2,5,6,1,1,2,5,6,4,3,,,,Other,Heterosexual,19-29
2018-07-21 17:48:14+02:00,2,6,5,1,4,3,2,3,1,5,4,6,,,,Female,Asexual,19-29
2018-07-21 17:49:17+02:00,4,3,6,5,2,1,2,6,3,5,1,4,,,,Male,Heterosexual,19-29
2018-07-21 17:50:26+02:00,3,4,1,5,6,2,2,5,1,6,4,3,,,,Female,Asexual,19-29
2018-07-21 17:50:43+02:00,5,2,3,4,6,1,6,2,1,3,4,5,,,,Male,Heterosexual,19-29
2018-07-21 17:52:41+02:00,5,2,6,4,3,1,5,4,1,3,6,2,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 17:53:30+02:00,3,5,2,1,4,6,2,3,5,4,1,6,,,,Male,Heterosexual,30-39
2018-07-21 17:53:36+02:00,6,5,4,3,2,1,6,5,4,3,1,2,,,,Male,Heterosexual,19-29
2018-07-21 17:53:44+02:00,4,5,1,3,6,2,4,1,3,6,2,5,,,,Male,Heterosexual,19-29
2018-07-21 17:56:24+02:00,6,5,4,3,2,1,6,2,1,5,3,4,,,,Male,Heterosexual,15-18
2018-07-21 17:57:17+02:00,4,2,1,3,5,6,6,1,4,5,3,2,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 17:58:18+02:00,2,3,6,5,1,4,5,1,4,6,2,3,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 17:58:30+02:00,4,3,2,5,6,1,6,2,1,5,4,3,,,,Female,Heterosexual,19-29
2018-07-21 17:59:57+02:00,3,4,1,5,2,6,5,6,1,4,3,2,,,,Male,Heterosexual,19-29
2018-07-21 18:01:06+02:00,4,1,6,2,3,5,4,3,1,5,6,2,,,,Male,Homosexual,30-39
2018-07-21 18:03:21+02:00,6,1,3,4,5,2,6,2,4,3,1,5,,,,Male,Homosexual,19-29
2018-07-21 18:05:02+02:00,2,3,1,4,5,6,5,3,1,6,2,4,,,,Female,Heterosexual,19-29
2018-07-21 18:08:47+02:00,2,4,5,3,6,1,6,2,3,5,4,1,,,,Female,Heterosexual,19-29
2018-07-21 18:10:05+02:00,4,3,1,2,6,5,3,1,2,5,6,4,,,,Other,Bisexual/Pansexual,19-29
2018-07-21 18:12:00+02:00,3,6,5,2,4,1,3,1,6,4,2,5,,,,Male,Heterosexual,19-29
2018-07-21 18:12:07+02:00,4,3,2,5,6,1,2,5,4,3,1,6,,,,Male,Heterosexual,19-29
2018-07-21 18:12:19+02:00,5,4,3,2,1,6,4,1,5,6,2,3,,,,Male,Homosexual,19-29
2018-07-21 18:12:27+02:00,2,3,1,4,5,6,5,4,3,1,2,6,,,,Male,Heterosexual,19-29
2018-07-21 18:12:43+02:00,1,3,2,6,5,4,3,2,5,6,1,4,,,,Female,Homosexual,19-29
2018-07-21 18:12:59+02:00,1,2,6,4,5,3,4,5,2,3,6,1,,,,Male,Heterosexual,19-29
2018-07-21 18:14:31+02:00,6,1,2,4,3,5,2,3,1,6,5,4,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 18:15:06+02:00,2,3,4,1,6,5,4,5,1,6,2,3,,,,Female,Heterosexual,19-29
2018-07-21 18:17:03+02:00,1,6,4,2,5,3,4,2,3,5,6,1,,,,Female,Heterosexual,40-49
2018-07-21 18:17:36+02:00,2,6,5,3,4,1,1,6,4,5,3,2,,,,Male,Heterosexual,40-49
2018-07-21 18:21:58+02:00,2,1,6,5,4,3,6,1,5,4,2,3,,,,Male,Heterosexual,19-29
2018-07-21 18:22:01+02:00,4,5,3,2,1,6,3,4,2,5,1,6,,,,Male,Heterosexual,19-29
2018-07-21 18:22:02+02:00,1,2,5,3,6,4,5,3,1,4,6,2,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 18:23:50+02:00,3,5,2,1,6,4,2,5,6,1,4,3,,,,Male,Heterosexual,15-18
2018-07-21 18:24:28+02:00,4,5,6,1,2,3,1,4,5,6,3,2,,,,Male,Heterosexual,19-29
2018-07-21 18:24:37+02:00,5,6,4,3,2,1,6,4,1,5,2,3,,,,Male,Homosexual,15-18
2018-07-21 18:27:01+02:00,1,6,3,2,5,4,3,2,1,5,6,4,,,,Female,Heterosexual,19-29
2018-07-21 18:27:25+02:00,2,4,1,5,6,3,6,5,1,3,4,2,,,,Female,Heterosexual,30-39
2018-07-21 18:28:08+02:00,3,5,1,4,6,2,4,6,1,5,2,3,,,,Male,Heterosexual,30-39
2018-07-21 18:28:30+02:00,3,5,1,4,6,2,3,2,4,6,1,5,,,,Male,Heterosexual,30-39
2018-07-21 18:29:39+02:00,5,6,4,2,3,1,3,2,6,5,1,4,,,,Male,Heterosexual,19-29
2018-07-21 18:29:51+02:00,3,4,6,5,1,2,2,4,3,6,1,5,,,,Male,Heterosexual,30-39
2018-07-21 18:29:51+02:00,2,3,1,4,6,5,5,4,3,6,2,1,,,,Male,Heterosexual,19-29
2018-07-21 18:31:07+02:00,5,2,1,4,3,6,6,1,5,3,2,4,,,,Female,Asexual,14 or under
2018-07-21 18:31:11+02:00,4,6,5,3,1,2,6,2,4,5,1,3,,,,Male,Bisexual/Pansexual,19-29
2018-07-21 18:32:17+02:00,1,3,4,6,5,2,5,1,2,4,3,6,,,,Male,Heterosexual,19-29
2018-07-21 18:36:31+02:00,1,2,5,4,3,6,5,2,1,6,3,4,,,,Male,Heterosexual,30-39
2018-07-21 18:38:50+02:00,4,6,5,1,3,2,6,1,2,5,3,4,,,,Male,Heterosexual,19-29
2018-07-21 18:39:01+02:00,4,6,1,5,3,2,5,1,4,6,2,3,,,,Male,Heterosexual,19-29
2018-07-21 18:39:28+02:00,6,5,2,3,4,1,3,2,1,6,4,5,,,,Female,Heterosexual,19-29
2018-07-21 18:39:37+02:00,1,6,2,4,5,3,5,2,1,6,3,4,,,,Female,Heterosexual,19-29
2018-07-21 18:40:40+02:00,1,2,3,6,5,4,2,4,6,5,1,3,,,,Male,Heterosexual,19-29
2018-07-21 18:41:11+02:00,3,1,5,2,4,6,4,2,5,3,1,6,,,,Female,Heterosexual,30-39
2018-07-21 18:42:03+02:00,2,1,3,4,6,5,2,3,1,6,5,4,,,,Female,Asexual,19-29
2018-07-21 18:42:26+02:00,1,3,6,2,4,5,2,3,1,4,5,6,,,,Female,Heterosexual,19-29
2018-07-21 18:42:40+02:00,3,6,2,1,4,5,5,1,2,6,3,4,,,,Female,Heterosexual,19-29
2018-07-21 18:42:44+02:00,2,5,6,1,3,4,4,6,3,5,1,2,,,,Female,Heterosexual,40-49
2018-07-21 18:43:10+02:00,3,2,1,4,5,6,3,2,6,1,4,5,,,,Non-binary,Bisexual/Pansexual,15-18
2018-07-21 18:43:29+02:00,4,1,2,5,6,3,3,1,2,6,5,4,,,,Male,Homosexual,30-39
2018-07-21 18:44:17+02:00,1,4,3,5,6,2,5,3,1,6,2,4,,,,Female,Bisexual/Pansexual,30-39
2018-07-21 18:44:20+02:00,3,2,1,5,6,4,6,3,5,4,2,1,,,,Male,Heterosexual,40-49
2018-07-21 18:44:37+02:00,5,4,3,1,2,6,1,4,6,3,2,5,,,,Female,Bisexual/Pansexual,19-29
2018-07-21 18:45:30+02:00,2,4,6,5,3,1,3,5,1,2,6,4,,,,Male,Heterosexual,19-29
2018-07-21 18:46:27+02:00,3,4,2,5,6,1,6,4,1,5,3,2,,,,Female,Heterosexual,19-29
2018-07-21 18:46:41+02:00,5,4,1,2,3,6,1,2,4,5,3,6,,,,Female,Heterosexual,19-29
2018-07-21 18:46:52+02:00,4,1,6,2,5,3,6,3,1,4,2,5,,,,Male,Heterosexual,15-18
2018-07-21 18:47:18+02:00,3,2,1,4,5,6,3,2,6,5,1,4,,,,Female,Heterosexual,19-29
2018-07-21 18:47:45+02:00,1,3,6,2,5,4,4,6,2,3,5,1,,,,Female,Homosexual,19-29
2018-07-21 18:48:12+02:00,1,5,2,4,3,6,6,4,2,5,1,3,,,,Male,Heterosexual,19-29
2018-07-21 18:48:19+02:00,6,2,1,5,4,3,6,3,5,4,2,1,,,,Male,Homosexual,19-29
2018-07-21 18:48:53+02:00,4,5,1,3,2,6,2,1,6,3,5,4,,,,Male,Heterosexual,19-29
2018-07-21 18:48:56+02:00,2,6,4,3,5,1,4,5,2,6,3,1,,,,Male,Heterosexual,30-39
2018-07-21 18:49:29+02:00,1,3,5,2,6,4,6,3,1,4,2,5,,,,Male,Heterosexual,40-49
