"Timestamp","Rank the bachelors [Alex]","Rank the bachelors [Elliott]","Rank the bachelors [Harvey]","Rank the bachelors [Sam]","Rank the bachelors [Sebastian]","Rank the bachelors [Shane]","Rank the bachelorettes [Abigail]","Rank the bachelorettes [Emily]","Rank the bachelorettes [Haley]","Rank the bachelorettes [Leah]","Rank the bachelorettes [Maru]","Rank the bachelorettes [Penny]","#1 Overall","#2 Overall","#3 Overall","How do you identify as?","What is your sexual orientation?","How old are you?",""
"2018/07/21 4:51:42 pm CET","#3","#5","#6","#4","#2","#1","#1","#2","#6","#4","#3","#5","","","","Male","Pansexual","19-29",""
"2018/07/21 4:54:30 pm CET","#4","#5","#6","#2","#1","#3","#2","#5","#6","#4","#3","#1","","","","Female","Pansexual","19-29",""
"2018/07/21 4:58:32 pm CET","#3","#6","#5","#4","#2","#1","#1","#4","#2","#5","#3","#6","","","","Male","Bi-curious","19-29",""
"2018/07/21 5:18:33 pm CET","#1","#5","#4","#6","#3","#2","#4","#3","#6","#1","#5","#2","","","","Female","Heterosexual","19-29",""
"2018/07/21 5:21:28 pm CET","#4","#3","#1","#5","#6","#2","#1","#2","#6","#5","#4","#3","","","","Female","Heterosexual","15-18",""
"2018/07/21 5:21:37 pm CET","#5","#6","#4","#3","#2","#1","#6","#3","#5","#1","#4","#2","","","","Female","Heterosexual","19-29",""
"2018/07/21 5:21:39 pm CET","#3","#1","#4","#2","#6","#5","#6","#2","#4","#1","#5","#3","","","","Female","Pansexual","19-29",""
"2018/07/21 5:23:03 pm CET","#6","#5","#1","#3","#2","#4","#3","#2","#5","#4","#1","#6","","","","Male","Heterosexual","19-29",""
"2018/07/21 5:23:46 pm CET","#5","#1","#2","#3","#4","#6","#1","#2","#4","#3","#6","#5","","","","Male","Heterosexual","19-29",""
"2018/07/21 5:26:12 pm CET","#1","#6","#5","#2","#3","#4","#2","#1","#4","#3","#5","#6","","","","Male","Heterosexual","15-18",""
"2018/07/21 5:28:35 pm CET","#4","#6","#5","#2","#3","#1","#4","#5","#3","#2","#6","#1","","","","Male","Asexual","19-29",""
"2018/07/21 5:32:41 pm CET","#5","#6","#1","#4","#3","#2","#4","#1","#2","#3","#5","#6","","","","Female","Heterosexual","19-29",""
"2018/07/21 5:33:25 pm CET","#3","#5","#1","#2","#4","#6","#3","#4","#6","#2","#1","#5","","","","Male","Heterosexual","19-29",""
"2018/07/21 5:34:06 pm CET","#4","#3","#2","#6","#5","#1","#5","#3","#6","#1","#4","#2","","","","Male","Bisexual","19-29",""
"2018/07/21 5:35:54 pm CET","#5","#2","#4","#6","#1","#3","#1","#5","#6","#4","#2","#3","","","","Female","Heterosexual","19-29",""
"2018/07/21 5:39:10 pm CET","#6","#1","#5","#4","#3","#2","#5","#4","#1","#2","#6","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 5:43:53 pm CET","#4","#3","#5","#6","#1","#2","#4","#5","#1","#2","#6","#3","","","","Female","Heterosexual","30-39",""
"2018/07/21 5:43:55 pm CET","#1","#5","#4","#2","#6","#3","#5","#2","#4","#3","#6","#1","","","","Male","Heterosexual","19-29",""
"2018/07/21 5:44:30 pm CET","#6","#3","#5","#4","#2","#1","#2","#6","#1","#3","#4","#5","","","","Male","Heterosexual","19-29",""
